code,course_name,description
AAST443,Asian American Politics,"Credit only granted for: AAST498T, AAST443, GVPT368C or AMST 498J. Formerly: AAST498T."
AAST498M,Asian American Public Policy,
AMSC420,Mathematical Modeling,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (MATH246, MATH341); and minimum grade of C- in STAT400. And 1 course with a minimum grade of C- from (CMSC106, CMSC131); or students who have taken courses with comparable content may contact the department. Cross-listed with MATH420.  Credit only granted for: AMSC420 or MATH420."
AMSC420,Mathematical Modeling,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH341, MATH461); and 1 course with a minimum grade of C- from (MATH241, MATH340); and 1 course with a minimum grade of C- from (MATH246, MATH341); and minimum grade of C- in STAT400. And 1 course with a minimum grade of C- from (CMSC106, CMSC131); or students who have taken courses with comparable content may contact the department. Cross-listed with MATH420.  Credit only granted for: AMSC420 or MATH420."
AMSC460,Computational Methods,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH340, MATH241); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH246.  Also offered as: CMSC460.  Credit only granted for: AMSC460, CMSC460, AMSC466,  or CMSC466."
AMSC466,Introduction to Numerical Analysis I,"Prerequisite: 1 course with a minimum grade of C- from (MATH240, MATH461, MATH341); and 1 course with a minimum grade of C- from (MATH340, MATH241); and 1 course with a minimum grade of C- from (CMSC106, CMSC131); and minimum grade of C- in MATH410.  Also offered as: CMSC466.  Credit only granted for: AMSC460, CMSC460, AMSC466,  or CMSC466."
AMSC661,Scientific Computing II,"Prerequisite: Must have knowledge of C or Fortran. And AMSC460 or CMSC460; or (CMSC466 or AMSC466); or (must have knowledge of basic numerical analysis (linear equations, nonlinear equations, integration, interpolation); and permission of instructor).  Cross-listed with CMSC66 1.  Credit only granted for: AMSC661 or CMSC661."
AMSC664,Advanced Scientific Computing II,Prerequisite: AMSC663 or CMSC663.  Restriction: Permission of instructor.  Cross-listed with CMSC664.  Credit only granted for:  AMSC664 or CMSC664.
AMSC674,Partial Differential Equations II,Prerequisite: MATH673 or AMSC673; or permission of instructor.  Also offered as: MATH674.  Credit only granted for: AMSC674 or MATH674.
AMSC715,Numerical Methods for Evolution Partial Differential Equations,"Prerequisite: Permission of instructor; or one graduate level course in partial differential equations or one graduate level course in numerical analysis or scientific computing.  Credit only granted for: AMSC612 or AMSC715.  Formerly: AMSC612.  Additional information: This course continues AMSC 714, but can be taken independently, and is a complement to the graduate courses MATH 673 and MATH 674 in PDEs, AMSC 666 in numerical analysis, and AMSC 660 and AMSC 661 in scientific computing."
AMSC760,Applied Statistics Practicum,Prerequisite: Must have completed one year of graduate study in Applied Statistics.  Restriction: Must have project proposal approved by SAC coordinator.
AMSC762,Data Analysis Project,Restriction: Permission of CMNS-Applied Mathematics department; and permission of instructor.
AMSC764,Advanced Numerical Optimization,"Prerequisite: MATH410; or permission of instructor.  Cross-listed with C MSC764.  Credit only granted for: AMSC607, AMSC764 or  CMSC764.        F ormerly: AMSC607."
AMST101,Introduction American Studies,Credit only granted for: AMST101 or AMST201.  Formerly: AMST201.
AMST101,Introduction American Studies,Credit only granted for: AMST101 or AMST201.  Formerly: AMST201.
AMST202,Cultures of Everyday Life in America,"Examine the structures and patterns of everyday life in the U.S., utilizing methods such as ethnography, oral history, survey research, and textual, visual, and material cultural analysis."
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society."
AMST205,Material Aspects of American Life,"Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture."
AMST212,Diversity in American Culture,"Exploration of the role of diversity in the shaping of American culture. Special emphasis will be placed on the multicultural origins of American popular and material culture, such as foodways and entertainment, and on the experience of ""Americanization."""
AMST289A,Shifting Sands: Constructing Cultural Mainstreams and Margins in the U.S.,
AMST298C,Introduction to Asian American Studies,Cross-listed with: AAST200.
AMST340,"Introduction to History, Theories and Methods in American Studies",Prerequisite: Must have completed AMST201; and 2 courses in AMST. Restriction: Must be in American Studies program; and sophomore standing or higher.
AMST386,Experiential Learning,Restriction: Permission of ARHU-American Studies department; and junior standing or higher.
AMST418K,Film and American Landscape,
AMST418N,Asian American Public Policy,
AMST450,Seminar in American Studies,Prerequisite: AMST201 and AMST340; and 1 course in AMST.  Restriction: Senior standing; and must be in American Studies program.
AMST603,Current Approaches to American Studies,Restriction: Must be in one of the following programs (American Studies (Master's); American Studies (Doctoral)) . Or permission of ARHU-American Studies department; and permission of instructor.
AMST856,Museum Research Seminar,"Prerequisite: AMST655, ANTH655, or HIST610.  Cross-listed with ANTH856,  HIST810.  Credit only granted for: AMST856, ANTH856, or HIST810."
AMST857,Museum Scholarship Practicum,"Prerequisite: AMST856, ANTH856, or HIST810.  Restriction: Permission of Museum Scholarship Program required.  Cross-listed with ANTH857,  HIST811.  Credit only granted for: AMST857, ANTH857, or HIST811."
ANSC101,Principles of Animal Science,"A comprehensive overview of the application of biology in the care and use of animals that live in close association with humans including food animals, companion animals, lab animals, zoo animals, etc. The role of science in modern food production using animals will be emphasized."
ANSC101,Principles of Animal Science,"A comprehensive overview of the application of biology in the care and use of animals that live in close association with humans including food animals, companion animals, lab animals, zoo animals, etc. The role of science in modern food production using animals will be emphasized."
ANSC103,Principles of Animal Science Laboratory,Prerequisite: Must have completed or be concurrently enrolled in ANSC101.  Restriction: Must be in one of the following programs (Environmental Sci & Pol-Environment & Agriculture; Agricultural and Veterinary Medicine; Agricultural Science and Technology) ; or must be in a major within the AGNR-Animal & Avian Sciences department; or permission of department required for students in other College of AGNR programs.
ANSC115,Careers in the Animal Sciences,Prerequisite: ANSC101 and ANSC103.
ANSC121,Introduction to Livestock Judging,"Students will establish a working understanding of the structural anatomy of several livestock species- cattle, sheep, pigs, goats- and their individual importance in the Agricultural Industry, while gaining the ability to evaluate these species for soundness and show-ring appeal. Additionally, the class aims to provide students with confidence in justifying decisions of based on their evaluations and gain skills in public speaking. The course will include two weekend field trips to farms in order to practice judging skills."
ANSC212,Applied Animal Physiology,Prerequisite: ANSC211; or (ANSC204 and ANSC205); or students who have taken courses with comparable content may contact the department.
ANSC214,Applied Animal Physiology Laboratory,Prerequisite: Must have completed or be concurrently enrolled in ANSC212.
ANSC227,Eating with Eyes Wide Open,"Students will investigate the tension that is created by trade-offs that, knowingly or not, are made by consumers relative to agricultural production methods and dietary choices. Course will inform students about their food supply so they can make informed decisions and practice intentional or informed eating."
ANSC237,Equine Reproductive Management,"Prerequisite: ANSC232.  Credit only granted for: ANSC237 or INAG233. Additional information: Course participation will include nightly checks of mares in the two weeks prior to parturition, and out-of-class time imprinting and working with newborn foals."
ANSC245,Sheep Management,Prerequisite: Minimum grade of C- in ANSC101 and ANSC103.  Restriction: Must be in one of the following programs (Animal Sciences: Animal Care & Management; Animal Sciences: Equine Studies; Animal Sciences: Laboratory Animal Care; Animal Sciences: Sciences/Preprofessional; Animal Sciences: Animal Biotechnology; Agricultural and Veterinary Medicine).  Credit only granted for: ANSC235 or ANSC245.
ANSC260,Laboratory Animal Management,Prerequisite: ANSC101 and ANSC103.  Credit only granted for: ANSC260 or ANSC413.  Formerly: ANSC413.
ANSC262,Commercial Poultry Management,Prerequisite: ANSC101 and ANSC103.
ANSC282,Grazing Animal Management,"Prerequisite: ANSC101 and ANSC103; or permission of instructor.  Credit only granted for: ANSC110, ANSC282, or INAG116.  Formerly: ANSC110."
ANSC315,Applied Animal Nutrition,Prerequisite: ANSC314.
ANSC327,Molecular and Quantitative Animal Genetics,"Prerequisite: ANSC101, CHEM131, and ANSC103. And BSCI105; or (BSCI170 and BSCI171)."
ANSC330,Equine Science,Prerequisite: ANSC232; or permission of instructor.  Recommended: ANSC212 and ANSC211.  Credit only granted for: ANSC230 or ANSC330. Formerly: ANSC230.
ANSC435,Experimental Embryology,Prerequisite: ANSC212.  Recommended: Completion of one course in reproductive physiology is recommended.  Credit only granted for: ANSC435 or ANSC489M.  Formerly: ANSC489M.
ANSC436,Animal Health Policy and Communication,Recommended: Completion of ANSC225 and ANSC340 recommend. Restriction: Must be in a major within the AGNR-Animal & Avian Sciences department; or permission of AGNR-VA-MD Regional COL Veterinary Med. Credit only granted for: ANSC489A or ANSC436. Formerly: ANSC489A.
ANSC440,Zoonotic Diseases and Control,"Prerequisite: BSCI223, ANSC212, ANSC327, BSCI222, BSCI421, or NFSC430; or students who have taken courses with comparable content may contact the department.  Credit only granted for: ANSC440 or ANSC489R. Formerly: ANSC489R."
ANSC443,Physiology of Lactation,"Prerequisite: CHEM231, ANSC212, and CHEM232.  Recommended: BCHM463."
ANSC444,Domestic Animal Endocrinology,"Prerequisite: ANSC212; or permission of instructor.  Restriction: Must not have completed ANSC644.  Credit only granted for: ANSC489I, ANSC444, or ANSC644.  Formerly: ANSC489I."
ANSC453,Animal Welfare and Bioethics,Prerequisite: ANSC101 and ANSC103; or BSCI106; or (BSCI160 and BSCI161); or permission of instructor.  Restriction: Junior standing or higher.
ANSC454,Nutritional Aspects of Metabolic Disease,"Prerequisite: CHEM131 and ANSC101, or BSCI170; or students who have taken courses with comparable content may contact the department. Credit only granted for: ANSC4890 or ANSC454. Formerly: ANSC489O."
ANSC617,Quantative Techniques in Physiology and Nutrition,Prerequisite: MATH220; or permission of AGNR-Animal & Avian Sciences department.
ANSC627,Molecular and Quantitative Genetics,"Classical, molecular, and population genetics with specific emphasis on animal systems will be covered. Also, disseminate information on molecular approaches for manipulating genetics at the whole animal level (transgenic and cloning). Other model organisms will be discussed to provide a conceptual framework."
ANSC644,Molecular and Cellular Endocrinology,"Restriction: Must not have completed ANSC444.  Credit only granted for: ANSC444,ANSC489I, ANSC644, or ANSC688I.  Formerly: ANSC688I."
ANSC660,Poultry Literature,Readings on individual topics are assigned. Written reports required. Methods of analysis and presentation of scientific material are discussed.
ANTH222,Introduction to Ecological and Evolutionary Anthropology,Credit only granted for: ANTH220 or ANTH222.
ANTH222,Introduction to Ecological and Evolutionary Anthropology,Credit only granted for: ANTH220 or ANTH222.
ANTH240,Introduction to Archaeology,"Exploration of the variety of past human societies and cultures through archaeology, from the emergence of anatomically modern humans to the more recent historical past."
ANTH242,"Fire, Farming and Climate Change: An Archaeology Take on the History of Human Impacts on our Planet","An examination of why climate changes, the methods for recording climate change, and case studies of the varied responses of past human societies to climate change in different geographic regions and time periods with varying socio-political and economic systems."
ANTH260,Introduction to Sociocultural Anthropology and Linguistics,Culture and social relationships in a wide variety of settings from small-scale to complex societies. An overview of how anthropology analyzes human behavior. Particular attention to the relationship between language and culture.
ANTH266,"Changing Climate, Changing Cultures","Explore past, present, and future interactions between humans and climate. Discussions, methods-oriented activities, and case study analyses provide students a foundation for appreciating the role of anthropology in understanding, responding to, and preparing for climate change."
ANTH267,"Organic, Mechanical, Digital","Beginning in the middle to late 20th century, human organization and experience has increasingly been influenced by digital forms of communication and production. Do these changes make us new types of people and societies? By putting the digital world in the context of the major periods associated with organic and mechanical technology, this course examines who contemporary people are and whether or not they are unique. The answer to this question will focus on how technological changes the individual, social organization and the relationship with the natural world. Sources from historians, anthropologists, sociologists, philosophers, political scientists and ecologists will be used to reconstruct these worlds."
ANTH305,Archaeological Methods and Practice,"Prerequisite: ANTH240, ARTH200, or CLAS180.  Cross-listed with ARTH305,  CLAS305.  Credit only granted for: ANTH305, ARTH305, or CLAS305."
ANTH310,Method & Theory in Medical Anthropology and Global Health,"Prerequisite: ANTH210.  Jointly offered with ANTH665.  Credit only grant ed  for: ANTH310, ANTH465, or ANTH665.  Formerly: ANTH465."
ANTH340,Method and Theory in Archaeology,Prerequisite: ANTH240.  Restriction: Must be in Anthropology program; or permission of BSOS-Anthropology department.
ANTH341,Introduction to Zooarchaeology,"Credit only granted for: ANTH298D, ANTH641 or ANTH341.  Formerly: ANTH298D."
ANTH386,Experiential Learning,Recommended: Completion of advanced courses in relevant subfield of anthropology recommended.  Restriction: Permission of BSOS-Anthropology department; and junior standing or higher; and must be in Anthropology program.
ANTH404,"Culture, Media, and the Production of Knowledge",Jointly offered with: ANTH604. Credit only granted for: ANTH404 or ANTH604.
ANTH411,Anthropology of Immigration and Health,Jointly offered with ANTH611.  Credit only granted for: ANTH411 or     ANTH611.
ANTH417,"Science Technology, and Medicine","How does something become a scientific fact? What is the social impact of new technologies and medical innovations? Who benefits and who is harmed by the rapid development of modern science, technology, and medicine? These questions are explored by drawing on the fields of anthropology, history, sociology, cultural studies, and science and technology studies to understand the inherent connections between science, technology, medicine, and society."
ANTH424,Human Skeletal Anatomy,"In addition to descriptive information about bone identification, the lectures will address the history of human anatomical studies, the development of analytical techniques, and the application of these techniques in paleoanthropology, comparative anatomy, functional anatomy (and related fields, such as physical therapy), and skeletal analysis in museum, historic cemetery, archaeological, and forensic settings. Emphasis will be on the development of the skeleton and recognition of normal variation in bones. The laboratory sessions will allow the students access to human bones for the purpose of identification, documentation of human variation, and application of techniques to obtain information about the living individual from the skeleton."
ANTH464,Anthropology of Cultural Heritage,"Prerequisite: ANTH260.  Jointly offered with ANTH664.  Credit only grant ed  for: ANTH469T, ANTH689T, ANTH464, ANTH664.  Formerly: ANTH469T."
ANTH467,Researching Environment and Culture,"Recommended: ANTH322, ANTH360, ENSP101, or ENSP102."
ANTH476,Senior Research,Restriction: Must be in Anthropology program.  Credit only granted for: ANTH476 or ANTH486.
ANTH477,Senior Thesis,Prerequisite: ANTH476.  Restriction: Permission of BSOS-Anthropology department; and must be in Anthropology program.  Credit only granted for: ANTH477 or ANTH487.
ANTH485,Honors Research Preparation,Restriction: Permission of BSOS-Anthropology department; and must be in Anthropology program; and must be admitted to University Honors Program or Anthropology Honors Program.
ANTH486,Honors Research,Restriction: Permission of BSOS-Anthropology department; and must be in Anthropology program; and must be admitted to University Honors Program or Anthropology Honors Program.  Credit only granted for: ANTH486 or ANTH476.
ANTH487,Honors Thesis,Prerequisite: ANTH486.  Restriction: Permission of BSOS-Anthropology department; and must be in Anthropology program; and must be admitted to University Honors Program or Anthropology Honors Program.  Credit only granted for: ANTH487 or ANTH477.
ANTH611,Anthropology of Immigration and Health,Credit only granted for: ANTH411 or ANTH611.
ANTH630,Quantification and Statistics in Applied Anthropology,Restriction: Must be in one of the following programs (Anthropology (Doctoral); Anthropology (Master's)).
ANTH641,Introduction to Zooarchaeology,"Jointly offered with ANTH341.  Credit only granted for: ANTH298D, ANTH34 1   or ANTH641."
ANTH664,Anthropology of Cultural Heritage,"Credit only granted for: ANTH469T, ANTH689T, ANTH464 or ANTH664. Formerly: ANTH689T."
ANTH665,Method & Theory in Medical Anthropology and Global Health,"Credit only granted for: ANTH310, ANTH465 or ANTH665."
ANTH701,Anthropology Internship Preparation,"Preparation for internship includes practicum training in development, presentation and evaluation of position papers, proposals and work plans; literature search and use of secondary data sources in decision making the effect cultural analysis and resource management; ethics and professional development for work in non-academic settings."
ANTH712,Anthropology Internship Analysis,Prerequisite: ANTH789.
ANTH722,Ecological Anthropology,Restriction: Must be in one of the following programs (Anthropology (Doctoral); Anthropology (Master's)).  Credit only granted for: ANTH720 or ANTH722.
ANTH740,Theories of the Past and Accomplishments of Archaeology,Credit only granted for: ANTH689P or ANTH740.  Formerly: ANTH689P.
ANTH745,International Heritage Management,Restriction: Must be in the Cultural and Heritage Resource Management Program (CHRM); or by permission of the Anthropology department.
ANTH746,Applied Archaeological Theory,Restriction: Must be in the Cultural and Heritage Resource Management Program (CHRM); or by permission of the Anthropology department.
ANTH856,Museum Research Seminar,"Prerequisite: AMST655, ANTH655, or HIST610.  Cross-listed with HIST810,  AMST856.  Credit only granted for: AMST856, ANTH856, or HIST810."
ANTH857,Museum Scholarship Practicum,"Prerequisite: AMST856, ANTH856, or HIST810.  Restriction: Permission of Museum Scholarship Program required.  Cross-listed with HIST811,  AMST857.  Credit only granted for: AMST857, ANTH857, or HIST811."
AOSC123,Causes and Implications of Global Change,"Cross-listed with GEOL123.  Credit only granted for: AOSC123, GEOG123,  GEOL123, or METO123.  Formerly: METO123."
AOSC123,Causes and Implications of Global Change,"Cross-listed with GEOL123.  Credit only granted for: AOSC123, GEOG123,  GEOL123, or METO123.  Formerly: METO123."
AOSC200,Weather and Climate,"Prerequisite: MATH107, MATH110, or MATH115.  Recommended: Concurrent enrollment in AOSC201.  Formerly: METO200."
AOSC201,Weather and Climate Laboratory,Corequisite: AOSC200.  Formerly: METO201.
AOSC247,Scientific Programming: Python,"Prerequisite: MATH140.  Recommended: Familiarity with basic descriptive statistics.  Credit only granted for: AOSC458J, AOSC247 or CMSC131. Formerly: AOSC458J."
AOSC401,Climate Dynamics and Earth System Science,Prerequisite: AOSC400 or AOSC200; and MATH141; and (PHYS161 or PHYS171). Or permission of instructor.
AOSC424,Remote Sensing of the Atmosphere and Ocean,"Prerequisite: 1 course with a minimum grade of C- from (PHYS171, PHYS161, MATH141); or permission of instructor."
AOSC432,Dynamics of the Atmosphere and Ocean,"Prerequisite: AOSC431.  Corequisite: MATH246.  Credit only granted for: AOSC432, METO432, or AOSC632.  Formerly: METO432."
AOSC433,Atmospheric Chemistry and Climate,"Prerequisite: CHEM131, CHEM135, or CHEM146. And MATH241; or permission of CMNS-Atmospheric & Oceanic Science department; or permission of CMNS-Chemistry & Biochemistry department.  Cross-listed with CHEM433.  Credit only granted for: AOSC433, AOSC633, CHEM433, or CHEM633.  Formerly: AOSC434."
AOSC472,Mesoscale Meteorology,"Prerequisite: AOSC432, AOSC600, AOSC610, or AOSC470.  Restriction: Non-degree-seeking students require the permission of the instructor. Jointly offered with AOSC602.  Credit only granted for: AOSC472 or AOSC6 02."
AOSC475,"Carbon Cycle and Climate: Past, Present, and Future",Jointly offered with AOSC675.  Credit only granted for: AOSC475 or AOSC6 75.
AOSC494,Atmospheric and Oceanic Science Seminar,Prerequisite: Minimum grade of C- in AOSC431 and AOSC432.
AOSC602,Mesoscale Meteorology,Survey a broad range of mesoscale meteorological features with emphasis on convection and associated phenomena.  Define the mesoscale and understand its underlying principles; Introduce non-convective circulations and their importance for weather forecasting; Understand the precursors and occurrence of deep moist convection.
AOSC611,Dynamics of the Atmosphere and Oceans II,Formerly: METO611.
AOSC617,Atmospheric and Oceanic Climate,Prerequisite: AOSC610; or permission of instructor.  Formerly: METO617.
AOSC621,Physics and Chemistry of the Atmosphere II,Prerequisite: MATH462; or students who have taken courses with comparable content may contact the department.  Formerly: METO621.
AOSC625,Remote Inference of Atmospheric Properties by Satellite,Prerequisite: AOSC621. And MATH461; or students who have taken courses with comparable content may contact the department.  Recommended: Non-degree-seeking students require permission of the instructor. Formerly: METO625.
AOSC630,Statistical Methods in Meteorology and Oceanography,Prerequisite: STAT400; or students who have taken courses with comparable content may contact the department.  Formerly: METO630.
AOSC633,Atmospheric Chemistry and Climate,"Prerequisite: CHEM131, CHEM135, or CHEM146. And MATH241; or permission of CMNS-Atmospheric & Oceanic Science department; or permission of CMNS-Chemistry & Biochemistry department.  Cross-listed with CHEM633.  Credit only granted for: AOSC433, AOSC633, CHEM433, or CHEM633."
AOSC634,Air Sampling and Analysis,Formerly: METO634.
AOSC663,Water and Climate Systems,"Prerequisite: AOSC610; and undergraduate level hydrology and/or hydrogeology, familiarity with differential calculus and equations. Please consult with instructor for details."
AOSC675,"Carbon Cycle and Climate: Past, Present, and Future",Jointly offered with AOSC475.  Credit only granted for: AOSC475 or AOSC6 75.
ARAB105,Elementary Modern Standard Arabic III-IV,Prerequisite: ARAB104; or must have appropriate Foreign Language Placement Test (FLPT) score.  Restriction: Must not be a fluent/native speaker of Arabic.
ARAB105,Elementary Modern Standard Arabic III-IV,Prerequisite: ARAB104; or must have appropriate Foreign Language Placement Test (FLPT) score.  Restriction: Must not be a fluent/native speaker of Arabic.
ARAB205,Intermediate Modern Standard Arabic II,Prerequisite: ARAB204; or must have appropriate Foreign Language Placement Test (FLPT) score.  Restriction: Must not be a fluent/native speaker of Arabic.
ARAB207,Egyptian Colloquial Arabic II,Prerequisite: ARAB206; or students who have taken courses with comparable content may contact the department.  Restriction: Must not be a fluent/native speaker of Arabic.
ARAB305,Advanced Modern Standard Arabic II,Prerequisite: ARAB304; or students who have taken courses with comparable content may contact the department.  Restriction: Must not be a fluent/native speaker of Arabic.
ARCH170,Design Thinking and Architecture,"Examines conceptual, perceptual, behavioral, and technical aspects of the built environment, and methods of analysis, problem-solving, and design implementation."
ARCH170,Design Thinking and Architecture,"Examines conceptual, perceptual, behavioral, and technical aspects of the built environment, and methods of analysis, problem-solving, and design implementation."
ARCH200,Design Media and Representation I,Restriction: Must be in a major in ARCH-Architecture Program.
ARCH225,History of World Architecture I,Pre-1500 World Architecture survey course - History of Architecture structured to develop critical thinking and visually literacy with regard to the worldwide legacy of design thinking and cultural production through architecture
ARCH271,"People, Planet, and Profit: Building Sustainable Places",Cross-listed with RDEV250.  Credit only granted for: ARCH271 or RDEV250.
ARCH289I,Sustainability at College Park,
ARCH400,Architecture Design Studio I,Restriction: Must be in a major in ARCH-Architecture Program; and permission of ARCH-Architecture Program.
ARCH402,Architecture Design Studio III,Prerequisite: Minimum grade of C- in ARCH401.  Restriction: Must be in Architecture (B.S.) program.
ARCH405,Graduate Architecture Design Studio II,Prerequisite: Minimum grade of C- in ARCH404.  Restriction: Must be in Architecture (Master's) program.
ARCH407,Graduate Architecture Design IV,Prerequisite: Minimum grade of C- in ARCH406.  Restriction: Must be in Architecture (Master's) program.
ARCH420,History of American Architecture,Prerequisite: ARCH221; or permission of ARCH-Architecture Program.
ARCH423,History of Roman Architecture,Prerequisite: Permission of ARCH-Architecture Program.
ARCH425,History of Architecture I,Restriction: Permission of ARCH-Architecture Program.  Credit only granted for: ARCH225 or ARCH425.  Additional information: Graduate architecture history course requires additional recitation section and additional coursework tied to survey lectures.
ARCH427,Theories of Architecture,Prerequisite: ARCH426; or permission of ARCH-Architecture Program. Restriction: Must be in Architecture (B.S.) program.
ARCH445,Visual Analysis of Architecture,Prerequisite: ARCH400; or permission of ARCH-Architecture Program. Restriction: Must be in Architecture (B.S.) program.
ARCH456,Great Cities,Prerequisite: Permission of ARCH-Architecture Program.
ARCH461,Sustainability in Architecture,Restriction: Permission of ARCH-Architecture Program.  Credit only granted for: ARCH418S or ARCH461.  Formerly: ARCH418S.
ARCH463,Sustainable Systems in Architecture,Restriction: Must be in a major in ARCH-Architecture Program.
ARCH465,Architectural Structures II,Restriction: Must be in a major in ARCH-Architecture Program.  Credit only granted for: ARCH412 or ARCH465.
ARCH470,Computer Applications in Architecture,Prerequisite: ARCH400; or permission of ARCH-Architecture Program. Restriction: Must be in Architecture (B.S.) program.
ARCH472,Building Information Modeling Communication and Collaboration,Restriction: Must be in a major in ARCH-Architecture Program; or must be in the Construction Project Management Minor.  Credit only granted for: ARCH678I or ARCH472.  Formerly: ARCH678I.
ARCH601,Topical Design Studio VI,Restriction: Permission of ARCH-Architecture Program.
ARCH635,Seminar in the History of Modern Architecture,Prerequisite: ARCH427; or permission of ARCH-Architecture Program.
ARCH654,Urban Development and Design Theory,Restriction: Permission of ARCH-Architecture Program.
ARCH655,Urban Design Seminar,Prerequisite: ARCH654; or permission of ARCH-Architecture Program. Credit only granted for: ARCH451 or ARCH655.  Formerly: ARCH451.
ARCH670,Advanced Computer Applications in Architecture,Restriction: Permission of ARCH-Architecture Program.  Credit only granted for: ARCH678C or ARCH670.  Formerly: ARCH678C.
ARCH797,Thesis Proseminar,Prerequisite: ARCH601.
AREC326,Intermediate Applied Microeconomics,"Prerequisite: ECON200, AREC250, or AREC240; and ECON201. And MATH120, MATH130, MATH136, or MATH140; or must have completed MATH220.  Credit only granted for: ECON306, ECON326, AREC489M, or AREC326.  Formerly: AREC489M."
AREC326,Intermediate Applied Microeconomics,"Prerequisite: ECON200, AREC250, or AREC240; and ECON201. And MATH120, MATH130, MATH136, or MATH140; or must have completed MATH220.  Credit only granted for: ECON306, ECON326, AREC489M, or AREC326.  Formerly: AREC489M."
AREC345,Global Poverty and Economic Development,"This interdisciplinary course explores social and economic development around the world. Topics include geography, democratization, political instability and conflict, health and education, agricultural development, micro-entrepreneurship, and an introduction to impact evaluation methods used to evaluate the efficacy of public policy aimed at alleviating poverty."
AREC360,Global Agriculture: Developing Extension Education & Agriculture Technologies in Africa,Restriction: Permission of AGNR-Agricultural & Resource Economics department.
AREC365,"World Hunger, Population, and Food Supplies","An introduction to the problem of world hunger and possible solutions to it. World demand, supply, and distribution of food. Alternatives for leveling off world food demand, increasing the supply of food, and improving its distribution. Environmental limitations to increasing world food production."
AREC386,Experiential Learning,Prerequisite: Permission of AGNR-Agricultural & Resource Economics department.  Restriction: Junior standing or higher.
