ARTS2360,Roots of Africa Music Ensemble,"Roots of Africa Ensemble is a course devoted to learning and performing in African, Afro-Cuban, and New World Percussion. Students will learn to play current music performed by the ensemble, a percussion ensemble engaged in workshop study and public performance of folkloric music, orginal works by various composers, including compositions by Dr. Eddie Ade Knowles. Under his direction, students will learn significance of performance within folklore ensembles and how to play instruments from Africa, Cuba, and the New World.Successful completion of ARTS 2340, audition, and/or invitation by Professor Knowles."
ARTS2380,Music and Sound I,"This is the first course in a two-course sequence in music theory and aural skills. The course covers the fundamentals of diatonic harmony and two-part species counterpoint. Aural skills include interval, scale and chord identification, rhythmic and tonal solfege, and dictation. Learning activities include weekly assignments in analysis, composition, performance, improvisation, and self-paced use of software in the acquisition of aural skills.ARTS 1380 or demonstrable proficiency in music."
ARTS2500,History Of Western Music,
ARTS2520,World Music,"From ""raves"" to symphony hall, Indian film music to Tibetan chant, monster truck rallies to a mother's lullaby, musical soundscapes surround us through all aspects of our daily lives. This course focuses on the study of music in or as culture. The exploration of music in human life will be comparative, using case studies from diverse world traditions and examining topics such as: ritual, media and technology, ethnicity/identity, music and dance, and musical transmission."
ARTS2540,The Multimedia Century,"This course will survey the history and theory of the diverse artistic practices of the twentieth century in relation to the development of the mass media and new technologies. Topics will include the Bauhaus, Surrealism, Pop Art, and Postmodernism and will span a spectrum of media from the more traditional, such as painting and photography, to electronic and new media, such as video and digital arts. This is a communication-intensive course."
ARTS2600,Ensemble Nonlinear,"A technology-based performance ensemble, as well as a practice-based studio course, focused on the composition, design, and programming of new musical works and instruments. Students create and perform electronic music using laptops, microprocessors, digital networks and a range of new interfaces for musical expression. ARTS 4600/6600 combines studio and ensemble. The ensemble only section (ARTS 2600) may be taken multiple times as a 1-credit performance ensemble in partial satisfaction of the Music major or minor ensemble requirements or once as a 4-credit seminar at either the 4000 or 6000 level. "
ARTS2700,Sound Recording & Prod I,
ARTS2940,Studies in the Arts,Individual and collaborative projects and assignments at the 2000 level adapted to the needs of individual students. 
ARTS2960,Topics in the Arts,Experimental courses offered for one or two semesters. 
ARTS2962,Private Music Lessons:Trombone,
ARTS4060,3D Visual Effects,"An introduction to the technical techniques and principles of computer animation with a focus on rigging, skinning, character fx, particle simulations, compositioning and rendering. Lectures, discussion, and exposure to contemporary work enable students to develop skills in this rapidly evolving field.Prerequisite: ARTS 2230 or permission of instructor."
ARTS4080,"Art, Community, and Technology","Through direct experience in the community, this course explores the complex roles and relationships of art, education, and technology. Students will develop a plan to work with a media arts center, community organization, or school; final teams will produce real-world arts and education projects that ultimately will be realized as significant additions to their professional portfolio. The projects can include a range from traditional arts practice to creative writing, creative IT models, to community art and activism."
ARTS4130,New Media Theory,"This course asks what is really new about New Media, and looks at creative practices, theoretical discourses, and social contexts to find answers. The course concentrates on cutting edge cultural expression using information and communication technologies. The objective to equip students with multiple perspectives - aesthetic, communications, historical - with which to analyze, critique, and develop original concepts about the uses of new media in art and culture. This is a communication-intensive course.Prerequisites:  ARTS 2500, ARTS 2540, or a 2000-level history-theory course in Audio Culture."
ARTS4160,Music and Technology II,"This course assumes knowledge and experience in computer music applications and performance. It is directed to undergraduate students as an upper-level seminar guiding their progress through the composition of a significant musical work. The class is divided between a group seminar, focusing on aesthetic, theoretical, and technical issues, and a workshop/lab in performance, computer applications and composition.Prerequisite: ARTS 2020 or permission of instructor."
ARTS4180,Topics in Deep Listening,"This course continues the practice and study of Deep Listening beyond the foundational course ""Deep Listening."" Topics include a wide range of investigations, research, and creativity in Deep Listening.  Permission of instructor. "
ARTS4200,Advanced Drawing,"Advanced Drawing is designed to help students who have mastered basic drawing skills to enhance those skills and utilize them to explore visual ideas. Emphasis is placed on individual development of skills and subject matter to help students express themselves visually. Examples and studies are used from master drawings of the past to learn about the history of art and to stimulate ideas for the students' own work.Prerequisite: ARTS 1200, or permission of instructor."
ARTS4240,Eco Chic: Living Art,
ARTS4260,Life Drawing and Anatomy for Artists,"Life Drawing and Anatomy for Artists is an advanced drawing class that will focus on drawing the human figure.  Students will work from live models to refine their drawing skills; clay models from anatomical texts will be made to develop a working knowledge of anatomy for artists.    Gesture, proportion, and expression of the human figure will be emphasized; general concepts of design and composition will also be presented.Prerequisite: ARTS 1200."
ARTS4380,Music and Sound II,"A continuation of studies in harmony, analysis, and ear-training. With an introduction to orchestration and 20th century techniques, the course will culminate with an original composition.ARTS 2380."
ARTS4390,Composition Seminar,"This course is a mixed media skills-based and creative project seminar that merges the skills acquired in Music and Sound 1 and 2 and Music and Technology 1 and 2. Students will survey methods of creating advanced music/sound compositions that employ acoustic and/or electronic sound production techniques and approaches to transmitting these ideas to interpreters through scores. Through a series of sonic experiments and composition projects, students investigate sound as a medium for artistic expression, focusing on fundamental concepts of unity, contrast, and form as methods of organizing musical works and performances, both fixed and improvised. Analysis and exercises will culminate in a final composition that will be performed, in concert/installation, by a professional, hired ensemble at the end of the semester. Both ARTS 4380 and ARTS 4160 or permission of instructor."
ARTS4460,Animation Production,Animation Production is designed to give an animation industry experience by completing the entire process of creating an animated short. Learning long-term time management and finding the key time cost/benefits will be essential to success. The course schedule is setup to replicate the industry model of frequent updates and feedback – dailies.  ARTS 4060 or ARTS 4070.
ARTS4600,Ensemble Nonlinear,"A technology-based performance ensemble, as well as a practice-based studio course, focused on the composition, design, and programming of new musical works and instruments. Students create and perform electronic music using laptops, microprocessors, digital networks and a range of new interfaces for musical expression. ARTS 4600/6600 combines studio and ensemble. The ensemble only section (ARTS 2600) may be taken multiple times as a 1-credit performance ensemble in partial satisfaction of the Music major or minor ensemble requirements, or once as a 4-credit seminar at either the 4000 or 6000 level. 
 "
ARTS4640,Science Fictions,"Science Fictions is an advanced narrative video production and theory course. The class looks at thematic areas of science fiction, utopia and dystopia, paranormal, and speculative fiction. 'Speculative fiction' is a genre that looks at the real world and extends what is known about it, building on the 'real.' The class has two threads: to study narrative structure and create a series of sci-fi videos; to discuss and analyze mainstream and avant-garde science fiction films and themes from the early 1900s to the present.Prerequisite: ARTS 1030 or permission of instructor."
ARTS4850,Creative Seminar II,"This course is for senior EMAC and EART majors. The goal of the Creative Seminar II is to develop and formulate ideas from Creative Seminar I into a unique project for the artists/communicator that will demonstrate his/her independent ideas, research, writing, and design skills. Students will develop a written thesis, creative project (e.g., art, graphic design, interaction design, music, performance), prepare and present their project in a public exhibition, and design the publicity for the show.Creative Seminar I, senior EMAC and EART majors only."
ARTS4860,Advanced Digital Imaging,"This upper level studio and seminar explores individual visual arts projects contributing to thesis or dissertation development. Topics in creative personal expression in imaging, installation, digital/traditional mixed media and emerging genres will be studied drawing from issues raised in class projects. Advanced studies may include high resolution digital photography, montage, archival printing, gesture drawing, painting, assemblage, processing, stencil art, projection, and evolving genres which lead to an independent final project and web portfolio.Prerequisite: one related 2000-level arts course or permission of instructor."
ARTS4880,Interdisciplinary Research Seminar,"This is a course introducing music majors to advanced research topics of the Rensselaer music faculty.  Each semester a member of the music faculty will focus the seminar on a research topic or paradigm related to their own body of artistic and technological research. Sample topics might include Spatial music and sound, New Instrument Design, Network Music, Music Information Retrieval, Ethnomusicology, Sonification Art and Science, Music and Logic, Spectralism and Beyond, Music Herstory (feminist music composition), Experimental music and sound history. Through hands-on creative research, students will explore questions of both musical and technological significance while engaging that same topic through their own hands-on creative practice.ARTS 4380 and ARTS 4160 or permission of instructor."
ARTS4940,Studies in the Arts,Individual and collaborative projects and assignments at the 4000 level adapted to the needs of individual students. 
ARTS4960,Topics in the Arts,Experimental courses offered for one or two semesters. 
ARTS4962,Sound Recording & Prod Ii,
ARTS4963,Virtual Reality,
ARTS6110,Electronic Arts Overview,"This seminar will provide a historical context for understanding and analyzing practices and theories of contemporary electronic art. The curriculum is a mix of field surveys, readings of primary sources in aesthetic, media and critical theory, and examination of contemporary topics and controversies. The seminar is also intended to support the development and articulation of the student's creative practice. Open to graduate students across the Institute. Spring term annuallyPrerequisite: limited students of graduate standing."
ARTS6130,New Media Theory,"This course asks what is really new about New Media, and looks at creative practices, theoretical discourses, and social contexts to find answers. The course concentrates on cutting edge cultural expression using information and communication technologies. The objective is to equip students with multiple perspectives — aesthetic, communications, historical — with which to analyze, critique, and develop original concepts about the uses of new media in art and culture."
ARTS6180,Topics in Deep Listening,"This course continues the practice and study of Deep Listening beyond the foundational course ""Deep Listening."" Topics include a wide range of investigations, research, and creativity in Deep Listening.  Vary with topic. Permission of instructor."
ARTS6240,Eco Chic: Living Art,
ARTS6250,"Art, Community, and Technology","This course explores the complex roles and relationships of art, education, and technology by giving students direct experience in the community. Students will develop a plan to work with a media arts center, community organization, or school; final teams will produce real-world arts and education projects that can become significant additions to their professional portfolio. The projects can include a range of practices including but not limited to traditional arts, creative writing, creative IT, community art, and activism. Graduate students who take this course will write a mid-term and final paper, plus offer an independent public presentation of their work. Graduate standing."
ARTS6260,Life Drawing and Anatomy for Artists,"Life Drawing and Anatomy for Artists is an advanced drawing class that will focus on drawing the human figure. Students will work from live models to refine their drawing skills; clay models from anatomical texts will be made to develop a working knowledge of anatomy for artists. Gesture, proportion, and expression of the human figure will be emphasized; general concepts of design and composition will also be presented.By portfolio review."
ARTS6400,Experimental Game Design,"Experimental Game Design is an upper level studio arts course focusing on the creation of innovative, workable game prototypes using a variety of interactive media. Games are considered as a new genre and are analyzed as cultural artifacts. The aesthetics of game design including character development, level design, game play experience, and delivery systems are covered. Flow, game theory, and game play gestalt are considered. Alternate gaming paradigms and emerging forms are encouraged. CSCI 4520 or COGS 4520 or GSAS 4520 or graduate standing or permission of instructor."
ARTS6600,Ensemble Nonlinear,"A technology-based performance ensemble, as well as a practice-based studio course, focused on the composition, design, and programming of new musical works and instruments. Students create and perform electronic music using laptops, microprocessors, digital networks and a range of new interfaces for musical expression. ARTS 4600/6600 combines studio and ensemble. The ensemble only section (ARTS 2600) may be taken multiple times as a 1-credit performance ensemble in partial satisfaction of the Music major or minor ensemble requirements, or once as a 4-credit seminar at either the 4000 or 6000 level. 
 "
ARTS6640,Science Fictions,"Science Fictions is an advanced narrative video production and theory course. The class looks at thematic areas of science fiction, utopia and dystopia, paranormal, and speculative fiction. 'Speculative fiction' is a genre that looks at the real world and extends what we know about it, building on the 'real.' The class has two threads: to study narrative structure and create a series of sci-fi videos; to discuss and analyze mainstream and avant-garde science fictions film and themes from the early 1900s to the present."
ARTS6860,Advanced Digital Imaging,"This upper level studio and seminar explores individual visual arts projects contributing to thesis or dissertation development. Topics in creative personal expression in imaging, installation, digital/traditional mixed media and emerging genres will be studied drawing from issues raised in class projects. Advanced studies may include high resolution digital photography, montage, archival printing, gesture drawing, painting, assemblage, processing, stencil art, projection, and evolving genres which lead to an independent final project and web portfolio."
ARTS6900,Arts Graduate Colloquium,"This course provides a forum for interdisciplinary graduate discourse and community at Rensselaer. Students will curate a series of presentations by guest speakers, faculty, and graduate students. Related readings and writing assignments will be based on colloquium presentations. Arts Ph.D. students are required to take the colloquium each semester until the semester they take their qualifying examination and enroll  for dissertation credits.Prerequisite: graduate standing in any graduate degree program, not just Arts."
ARTS6940,Studies in Electronic Arts,Individual and collaborative projects and assignments adapted to the needs of individual students at the graduate level.
ARTS6960,Topics in Electronic Arts,Experimental courses offered for one to two semesters.
ARTS6961,Bioethics,
ARTS6963,Virtual Reality,
ARTS6965,Music And Technology Ii,
ARTS6990,Master's Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.Must have passed two Qualifying Reviews."
ARTS9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester, until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Must have passed Qualifying Exam or must be in a semester when taking Qualifying Exam. "
COGS2120,Introduction to Cognitive Science,"This course is an introduction to the new and quickly growing field of cognitive science. Cognitive Science is a highly interdisciplinary field of study of mind at the intersection of philosophy, psychology, computer science, neuroscience, linguistics, and anthropology. This is a communication-intensive course.
 "
COGS2340,Introduction to Linguistics,"This course offers a survey of scientific and applied approaches to the study of human language, highlighting the endlessly surprising nature of this sophisticated mode of communication. A sampling of the topics to be covered: phonology, morphology, syntax, semantics, lexicography, psycholinguistics, and historical linguistics. Lecture course. "
COGS4210,Cognitive Modeling,"Recent advances in Cognitive Science, Computer Science and Mathematics, have resulted in the ability to develop computer programs that implement Probabilistic Cognitive Models (PCMs). The cognitive models that this course covers are based on approximate Bayesian Inference implemented by Markov Chain Monte Carlo and Variational techniques that have made this approach tractable. The objective of this course is to enable the student to develop models of cognition in a Bayesian framework. CSCI 2300 or permission of instructor."
COGS4330,Introduction to Cognitive Neuroscience,"This survey course is intended as an introduction to Cognitive Neuroscience. The topics covered will focus on exploring the neural underpinnings for cognitive processes, such as sensation, language, attention, motor control, executive functions, social communication, emotions, consciousness, and learning/memory. Basic aspects of nervous system function and neuroanatomy, brain development/evolution, structural and functional imaging techniques, and other research methods used in Cognitive Neuroscience will be discussed. PSYC 1200, PHIL/PSYC/COGS 2120, or permission of instructor."
COGS4360,Behavioral Neuroscience,"This course is an introduction to the role of physiological mechanisms in behavioral processes. There will be detailed examination and discussion of the involvement of biological systems in feeding and drinking, sexual behavior, sleep and arousal, learning and memory, psychopathology and psychopharmacology.Prerequisite: PSYC 1200, or PSYC/PHIL 2120, or permission of instructor."
COGS4550,Game Architecture,
COGS4610,Stress and the Brain,"This seminar course is a detailed examination of the mind-brain relationship, through study of the stress response. Stress is simply defined as any challenge to an individual's homeostasis or balance. This course will explore the neurobiological underpinnings of the stress response, with particular focus on how stressors can alter perception, affective and cognitive processing in the individual, which can in turn feedback to alter the general health of the individual (body and mind/brain).   PSYC 1200 or permission of instructor."
COGS4960,Topics in Cognitive Science,An advanced course concerned with selected topics in cognitive science.
COGS4990,Undergraduate Thesis,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member. This is a communication-intensive course.Prerequisite: permission of a supervising faculty member (completion of the thesis/project/dissertation registration form)."
COGS6210,Cognitive Modeling I,"This is a graduate level course that introduces the student to computational cognitive modeling. Cognitive modeling is the simulation of human cognitive, perceptual, and motor processes based on a cognitive architecture. The benefit of cognitive modeling is that it facilitates the testing of ideas about human processes through comparison of model data with empirical data. This course covers ACT-R, a symbolic architecture and LEABRA, a neural-level architecture. "
COGS6960,Topics in Cognitive Science,An advanced course concerned with selected topics in cognitive science.
COGS6961,Research Problems In Cog Sci,
COGS6962,Professional Seminar,
COGS6963,Event Coding & Motor Expertise,
COGS6980,Master's Project,"Active participation in a master's-level project, under the supervision of a faculty adviser, leading to a master's project report. Grades S or U are assigned at the end of the semester. If recommended by the adviser, the master's project may be accepted by the Office of Graduate Education to be archived in the library."
COGS6990,Master’s Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a master’s thesis. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the thesis has  been presentend, approved by the adviser, and accepted by the Office of  Graduate Education, it will be archived in a standard format in the  library."
COGS9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library."
COMM1960,Eff Comm For Class Pedagogy,
COMM2110,Writing for the Screen,"In this course students consider how different ""screens,"" from mobile apps to motion pictures, require different approaches to communication. Students learn to critically read, write, and create various genres of visual media, including educational, entertainment, experimental, informational, and commercial content for film, television, Internet, and mobile media. The course invites students to solve challenging communication problems, explore how media shape worldviews and identities, and reflect on how compelling stories bring about new ways of ""seeing."" "
COMM2120,Language in Real Time,"This course offers an introduction to theories and methods used to study language in its real time contexts. It begins by exploring the structure of sounds and words. The course moves on to investigate how language variation at those structural levels bleeds into social life – including the cultural and socio-historical production of identities, ideologies, and inequalities. The ""exercise"" component of this course provides a hands-on opportunity for engaging with the topics explored in course readings and lectures. Completing exercises will offer practice in, for example, using the International Phonetic Alphabet, transcribing and analyzing natural speech, and using various theoretical offerings to examine how social perspectives and attitudes impact both the use and interpretation of linguistic forms. "
COMM2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course."
COMM2570,Typography,"Typography studies the form and function of alphabetic and pictographic systems in English-speaking society. The course aims to imbue in students a critical perspective on the role typography plays in the history and sustenance of civilization and the propagation of ideas throughout society. Students will read historical, theoretical, and evidence-based literature to glean principles for designing communicatively effective type. Verbal and visual assignments will enforce understanding of typographic principles and grammar for use in print and digital interfaces."
COMM2660,Introduction to Graphic Design,"This course introduces students to the practice of graphic design with a variety of hands-on projects. Studies include the principles and theories of 2D design and the integration of form, color, type, image, and content. Students will develop a heightened visual awareness and an understanding of how design influences meaning. The course emphasizes strategic and critical thinking in the solving of graphic design problems for the purposes of professional communication across a range of media platforms. "
COMM2940,Communication Studies,Readings and projects adapted to the needs of individual students.
COMM2960,Critical Television,
COMM4240,Writing for Games I,"This is the second course in the central track of the Writing concentration for GSAS students. In this project-intensive course, students will learn and practice basic, in-the-trenches writing and narrative development for games, including story outlines, cutscenes, scripted dialogue, systemic dialogue, and mission writing and design, across multiple game types and narrative genres.Prerequisites: GSAS 2520 Introduction to Game Storytelling, WRIT 2330 Creative Writing: The Short Story, or permission of instructor."
COMM4350,Creative Seminar II,"This course is for senior EMAC and EART majors. The goal of the Creative Seminar II is to develop and formulate ideas from Creative Seminar I into a unique project for the artist/communicator that will demonstrate his/her independent ideas, research, writing, and design skills. Students will develop a written thesis, creative project (e.g., art, graphic design, interaction design, music, performance), prepare and present their project in a public exhibition, and design the publicity for the show. COMM 4340 Creative Seminar I; Senior EMAC and EART majors only."
COMM4380,Writing And Response,
COMM4470,Information Design,This course examines methods of graphic representation of data. Course work requires graphing of information derived from researched databases. Visual presentations of historic data will be examined to determine the most efficient way to represent complex information without distorting the data within. Information designers clarify these displays and enrich the understanding of the modern world.COMM 2660.
COMM4540,Visual Culture,"Humans inhabit a culture of visual images. Images bombard them on television, the Internet, and in films; they surround everyone as architecture and fashion; they provide essential resource data in science, engineering, and business. This course will help students better understand how images communicate information, arouse emotions, and shape values. Students will primarily do readings in cultural history/theory with some viewing of films. Prerequisite: One 2000-level HASS undergraduate course of permission of instructor."
COMM4550,Religion in the Media,"How are religious fundamentalists using new media? Can religious conversion take place in a theme park? How are religious ""crossover"" films transforming political and popular cultural landscapes? This course maps the complex intersections of religion, culture, and media in the global transformations of religious traditions and explores, through a media frame, ""the return of religion"" within the secular consensus of modernity.COMM 2520."
COMM4690,Interface Design: Hypermedia Theory and Application,"This course focuses on the design theory and research behind effective interface design for hypermedia programs (multimedia computer programs with interactive inks). These interactive programs are the standard form of communication on the WWW, CDs, and DVDs. Students apply theory and research by designing and developing an interactive multimedia program (for WWW or CD).ITWS 1100 or permission of instructor."
COMM4940,Communication Studies,Readings and projects adapted to the needs of individual students.
COMM4960,Level Design,
COMM4962,Game Narrative Design,
COMM4963,Public Relations,
COMM4964,Brand Identity Design,
COMM6380,Writing And Response,
COMM6940,Communication Studies,Readings and projects adapted to the needs of individual students.
COMM9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S."
ECON2010,Intermediate Microeconomic Theory,"This course combines demand, derived from consumer preferences, and supply, based on firms' production functions, to establish market prices for goods and services. Calculus-based techniques are used to minimize costs and maximize utility and profits across differing industry structures. Product pricing strategies are examined. The course also provides an introduction to topics such as the pricing of stocks and bonds, game theory, positive and negative externalities, asymmetric information, and behavioral economics.Applies the microeconomic theory of the firm to price, cost, and output decisions of business enterprises under different market structures. Regression analysis of demand and cost, linear programming of production and simulation analysis of risk, and capital budgeting are also presented.IHSS 1200 and MATH 1010 or MATH 1500, or permission of instructor."
ECON2020,Intermediate Macroeconomic Theory,"Attention is directed primarily to variations in the aggregate volume of output, income, and employment. Cyclical fluctuations and long-term economic trends are examined and the interrelations of business and government policies are analyzed. The applicability of economic theory to the problems of business forecasting is discussed.IHSS 1200 and MATH 1010 or MATH 1500, or permission of instructor."
ECON2940,Readings in Economics,
ECON4130,Money and Banking,"Financial institutions, especially commercial banking and the Federal Reserve System, are considered from three perspectives: their monetary roles; trends in the economic, organizational, and technological aspects of their operations; and their other economic roles-a critical view. Also, the role of money in macroeconomic theory is considered along with the role of monetary policies in relation to the problems of inflation and unemployment.Prerequisite: ECON 1200/IHSS 1200 or permission of instructor."
ECON4170,Health Economics and Policy,Examine various facets of the healthcare industry. Application of microeconomic theory and tools will be used to: analyze healthcare demand and supply; examine the impact of public policies; study market segments such as health insurance and pharmaceuticals; explore economic choices of healthcare professionals; identify potential socioeconomic and demographic determinants of health status and healthcare; and gain insights into issues related to the ongoing healthcare policy reform. IHSS 1200/ECON 1200 and MATH 1010 or MATH 1500.
ECON4190,International Economics and Globalization,"This course investigates the significance of economic globalization, covering the following topics: international trade and financial flows, technological innovation and intellectual property, technology transfer, national government and transnational corporations, natural resources, health and the environment, impacts on selected industries and countries, and roles of the world trade organization and international monetary fund. The major controversies surrounding globalization are identified, and alternative arguments are evaluated based on available evidence.Prerequisite: ECON 1200/IHSS 1200 or permission of instructor."
ECON4220,Applied Game Theory,"Game theory has been emerging as a branch of mathematical economics and applied to analyze situations where each decision-maker needs to think strategically about others' perspectives and actions in order to determine ones' own optimal choice. This course provides an introduction and presents selected topics in game theory. It will look into basic definitions and equilibrium concepts and develop a wide range of applications in Economics, Biology, sports, health care, and various fields. The goal of the lecture is to improve understanding of strategic interaction in economic, business, and social situations.ECON 1200 or IHSS 1200 and MATH 2010."
ECON4270,Behavioral Economics,"Integrates theory from psychology, neuroscience, and other social sciences into traditional economic models of human behavior. By relaxing the standard assumptions of perfect rationality and selfishness, more realistic modeling features such as loss aversion, present-bias, social norms, and habit formation improve economic analyses. These techniques are used to analyze individuals' health behaviors, health insurance markets, and healthcare policy. ECON 1200 or IHSS 1200 and MATH 1010 or MATH 1500."
ECON4290,Economics of Biotech and Medical Innovations,"Students will learn about markets related to healthcare, insurance, biopharmaceuticals, and medical devices. Examine economic issues, models and quantitative analysis related to firms' activities in areas such as innovation, R&D expenditures, patenting, pricing, mergers and acquisitions, and competition in markets. Examine the role played by health insurance systems. Study the economic implications of regulations, such as those by the U.S. FDA. Economic and policy aspects will be examined within the context of the U.S. healthcare sector, along with selected comparisons to European national healthcare systems.ECON 1200 or IHSS 1200."
ECON4310,Law and Economics,"Market-based economies depend upon legal systems that establish and protect property rights. In this and many other instances the law is designed to encourage and support economic activity; in others it is designed to restrain certain types of otherwise rational economic behavior. This course will apply fundamental economic concepts, such as supply and demand, competition, monopoly, externalities, and Pareto efficiency to a range of legal topics, including contracts, torts, criminal, and intellectual property law to explain the economic motivation and consequences of the legal framework. For those students considering law school, this course offers an exposure to many of the legal concepts found in the first year law school curriculum. ECON 1200/IHSS 1200."
ECON4320,Economic Models of Decision-Making,"An exploration of models of decision-making under alternative assumptions, expanding on ""rational"" models of introductory economics. The course will discuss the assumptions of these standard models and their shortcomings. The shortcomings will be addressed through the exploration of limited attention and considerations of fairness, uncertainty, and strategic interaction. Applications in areas such as consumer and household finance, marketing, and public policy will be emphasized throughout.
 ECON 1200 or IHSS 1200."
ECON4340,Behavioral Financial Economics,"This course describes how individuals and firms make financial decisions, and how those decisions might deviate from those predicted by traditional financial or economic theory. The course examines how the insights of behavioral economics complement the traditional finance paradigm by introducing some of the main psychological biases in financial decision-making and examining the impacts of these biases in financial markets and other financial settings. It will also introduce students to behavioral and experimental methodologies in finance, economics, and other disciplines.ECON 1200 or IHSS 1200, and an approved statistics course: ENGR 2600, MGMT 2100, MATP 4600, or PSYC 2310."
